REAL,PRED
angry,happy
angry,angry
angry,angry
angry,sad
angry,angry
angry,neutral
angry,surprise
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,sad
angry,sad
angry,angry
angry,angry
angry,angry
angry,fear
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,sad
angry,happy
angry,angry
angry,neutral
angry,angry
angry,sad
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,happy
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,fear
angry,fear
angry,angry
angry,angry
angry,angry
angry,happy
angry,fear
angry,sad
angry,angry
angry,angry
angry,surprise
angry,angry
angry,angry
angry,fear
angry,angry
angry,angry
angry,angry
angry,sad
angry,angry
angry,sad
angry,angry
angry,surprise
angry,angry
angry,angry
angry,angry
angry,fear
angry,fear
angry,angry
angry,angry
angry,neutral
angry,angry
angry,happy
angry,angry
angry,angry
angry,angry
angry,sad
angry,angry
angry,fear
angry,angry
angry,angry
angry,angry
angry,happy
angry,sad
angry,fear
angry,angry
angry,angry
angry,angry
angry,sad
angry,angry
angry,neutral
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,fear
angry,angry
angry,surprise
angry,angry
angry,angry
angry,sad
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,sad
angry,angry
angry,neutral
angry,angry
angry,sad
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,sad
angry,fear
angry,angry
angry,angry
angry,angry
angry,angry
angry,neutral
angry,angry
angry,angry
angry,angry
angry,neutral
angry,neutral
angry,angry
angry,happy
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,fear
angry,angry
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,fear
angry,angry
angry,angry
angry,angry
angry,fear
angry,fear
angry,happy
angry,angry
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,sad
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,fear
angry,happy
angry,fear
angry,angry
angry,angry
angry,fear
angry,angry
angry,sad
angry,sad
angry,angry
angry,sad
angry,sad
angry,neutral
angry,happy
angry,happy
angry,angry
angry,angry
angry,happy
angry,sad
angry,angry
angry,fear
angry,neutral
angry,surprise
angry,sad
angry,sad
angry,neutral
angry,fear
angry,happy
angry,neutral
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,sad
angry,angry
angry,angry
angry,sad
angry,angry
angry,fear
angry,angry
angry,neutral
angry,sad
angry,fear
angry,sad
angry,sad
angry,angry
angry,sad
angry,angry
angry,angry
angry,neutral
angry,angry
angry,angry
angry,angry
angry,happy
angry,angry
angry,happy
angry,fear
angry,happy
angry,angry
angry,happy
angry,angry
angry,sad
angry,surprise
angry,angry
angry,sad
angry,neutral
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,happy
angry,angry
angry,sad
angry,angry
angry,neutral
angry,angry
angry,angry
angry,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,sad
angry,angry
angry,fear
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,sad
angry,neutral
